ISO28178
ORIGINATOR "Unknown"
FILE_DESCRIPTOR "Unknown"
CREATED "2024-4-23T15:28:0"
INSTRUMENTATION	"Unknown ; Serial number 28696"
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2? WhiteBase=Abs Filter=D50"
TARGET_TYPE	"ECI2002"
KEYWORD	"TARGET_LAYOUT"
TARGET_LAYOUT	"visual"
REFERENCE_PROFILE	"R3_lam_23-4-24.icc"
NUMBER_OF_FIELDS 42
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730
END_DATA_FORMAT
NUMBER_OF_SETS 1485
BEGIN_DATA
171	2F8	0.000	100.000	20.000	0.000	0.13070	0.13600	0.14020	0.15310	0.16910	0.17500	0.17750	0.17280	0.15510	0.13140	0.10660	0.08580	0.06960	0.05460	0.03660	0.02470	0.02390	0.02530	0.02160	0.01610	0.02210	0.10990	0.35710	0.61050	0.75560	0.81870	0.85220	0.86980	0.87780	0.87980	0.87970	0.87760	0.88030	0.88460	0.88410	0.88590
170	J11	0.000	85.000	20.000	0.000	0.18720	0.19400	0.20050	0.22250	0.24530	0.25140	0.25270	0.24710	0.22690	0.20180	0.17610	0.15450	0.13610	0.11620	0.09150	0.07340	0.07210	0.07500	0.06840	0.05710	0.06400	0.17620	0.43510	0.66440	0.78190	0.82970	0.85560	0.87000	0.87690	0.87790	0.87750	0.87590	0.87740	0.88060	0.88090	0.88230
169	2A11	0.000	70.000	20.000	0.000	0.22070	0.23370	0.24920	0.28430	0.31510	0.32120	0.32180	0.31700	0.29660	0.27200	0.25030	0.23420	0.21670	0.19460	0.16500	0.14160	0.13950	0.14360	0.13420	0.11750	0.12510	0.25470	0.51200	0.71140	0.80360	0.84100	0.86270	0.87550	0.88180	0.88320	0.88240	0.88050	0.88280	0.88670	0.88670	0.88890
168	G12	0.000	55.000	20.000	0.000	0.26900	0.28630	0.30970	0.35500	0.39420	0.39850	0.39790	0.39280	0.37190	0.34990	0.33590	0.32960	0.31730	0.29520	0.26330	0.23690	0.23520	0.23890	0.22790	0.20900	0.21800	0.35290	0.58770	0.74820	0.81510	0.84120	0.85780	0.86860	0.87400	0.87530	0.87350	0.87140	0.87370	0.87580	0.87610	0.87740
167	2F10	0.000	40.000	20.000	0.000	0.30030	0.32300	0.35110	0.40340	0.44960	0.45210	0.45060	0.44770	0.42800	0.41100	0.41230	0.42820	0.42820	0.40890	0.37650	0.34930	0.34720	0.35060	0.33790	0.31660	0.32470	0.45630	0.66110	0.78560	0.83360	0.85280	0.86750	0.87790	0.88370	0.88440	0.88350	0.88060	0.88340	0.88750	0.88780	0.89060
166	K14	0.000	30.000	20.000	0.000	0.33640	0.36260	0.39420	0.45990	0.51420	0.51610	0.51280	0.50960	0.48980	0.47650	0.48670	0.51540	0.52280	0.50640	0.47600	0.45000	0.44720	0.45010	0.43750	0.41750	0.42580	0.54400	0.71100	0.80260	0.83520	0.84910	0.86200	0.87130	0.87670	0.87710	0.87660	0.87480	0.87710	0.88040	0.88030	0.88280
165	2A13	0.000	20.000	20.000	0.000	0.35750	0.39430	0.43530	0.51100	0.57260	0.57220	0.56830	0.56690	0.54760	0.54010	0.56590	0.61680	0.63800	0.62670	0.59960	0.57580	0.57320	0.57520	0.56240	0.54400	0.55200	0.65180	0.77120	0.82710	0.84520	0.85420	0.86490	0.87340	0.87880	0.87920	0.87880	0.87660	0.87820	0.88210	0.88200	0.88580
